companies,Total,Average,Number
British Broadcasting Corporation (BBC),630028903.0,63002890.3,10
Reliance BIG Entertainment,626282195.0,125256439.0,5
Blue Light,624986611.0,312493305.5,2
France 3 Cinéma,624397857.0,36729285.705882356,17
GH Three,624029371.0,624029371.0,1
Kanzaman,619753321.0,77469165.125,8
See-Saw Films,619043129.0,103173854.83333333,6
Jinks/Cohen Company,617089499.0,154272374.75,4
Trigger Street Productions,616164885.0,154041221.25,4
CBS Films,616153743.0,41076916.2,15
Internationale Filmproduktion Richter,609841637.0,609841637.0,1
Littlestar,609841637.0,609841637.0,1
Haishang Films,609016565.0,609016565.0,1
Wildwood Enterprises,606921492.0,46686268.615384616,13
Anarchos Productions,601389739.0,120277947.8,5
Exclusive Media Group,596819785.0,39787985.666666664,15
Film i Väst,596531164.0,25936137.56521739,23
Rogue Pictures,595125128.0,49593760.666666664,12
Enlight Pictures,594688398.0,99114733.0,6
Gold/Miller Productions,592710871.0,148177717.75,4
Tiger Aspect Productions,590949014.0,196983004.66666666,3
Constantin Film,589300172.0,84185738.85714285,7
DiNovi Pictures,588046836.0,49003903.0,12
Shanghai Film Group,587435249.0,83919321.28571428,7
Room 101,581815666.0,116363133.2,5
River Road Entertainment,580733495.0,64525943.88888889,9
Conundrum Entertainment,577460622.0,96243437.0,6
Prana Studios,574799091.0,191599697.0,3
Kalima Productions GmbH & Co. KG,574739364.0,143684841.0,4
Sidney Kimmel Entertainment,574694799.0,30247094.684210528,19
Mandalay Pictures,574384270.0,63820474.44444445,9
Majestic Films International,573414726.0,114682945.2,5
Pathé Renn Productions,572530185.0,71566273.125,8
Metropolitan Filmexport,572149223.0,71518652.875,8
Newmarket Capital Group,567886969.0,56788696.9,10
Dovemead Films,566527348.0,188842449.33333334,3
WV Films III,566149006.0,188716335.33333334,3
Delphi Films,563228025.0,187742675.0,3
Canal+ España,563105311.0,24482839.608695652,23
Great Oaks Entertainment,557287493.0,185762497.66666666,3
Hakuhodo DY Media Partners,555465268.0,69433158.5,8
Internationale Filmproduktion Blackbird Dritte,553168173.0,184389391.0,3
Big Primate Pictures,550000000.0,550000000.0,1
Munich Film Partners & Company (MFP) MI2 Productions,546388105.0,546388105.0,1
Evolution Entertainment,545175754.0,109035150.8,5
TV Tokyo,544966765.0,68120845.625,8
Dayday Films,543448854.0,135862213.5,4
Mad Chance Productions,542307423.0,542307423.0,1
22 & Indiana Pictures,542307423.0,542307423.0,1
Mikona Productions GmbH & Co. KG,542148938.0,135537234.5,4
China Film Group Corporation (CFGC),539191591.0,89865265.16666667,6
The Montecito Picture Company,538623732.0,67327966.5,8
MFP Munich Film Partners GmbH & Company I. Produktions KG,534769782.0,133692445.5,4
Apparatus Productions,534392904.0,267196452.0,2
Hong Kong Alpha Motion Pictures Co.,532950503.0,532950503.0,1
2DUX²,531865000.0,531865000.0,1
Black Label Media,531440108.0,177146702.66666666,3
Radical Studios,529568572.0,264784286.0,2
Mediastream Vierte Film GmbH & Co. Vermarktungs KG,528957226.0,176319075.33333334,3
Blue Tulip Productions,528240637.0,176080212.33333334,3
Laika Entertainment,527116173.0,105423234.6,5
Sean Daniel Company,526781293.0,175593764.33333334,3
Feigco Entertainment,525659439.0,175219813.0,3
Rat Entertainment,522861043.0,104572208.6,5
Kasdan Pictures,522217492.0,130554373.0,4
Pearl Street Films,521329222.0,130332305.5,4
FortyFour Studios,521311860.0,521311860.0,1
Oriental DreamWorks,521170825.0,521170825.0,1
T2 Productions,520000000.0,520000000.0,1
Kaap Holland Film,519876949.0,519876949.0,1
Tree Line Films,518385534.0,172795178.0,3
Film Rites,515988195.0,128997048.75,4
Lawrence Bender Productions,514017165.0,57113018.333333336,9
Stanley Kubrick Productions,513075436.0,128268859.0,4
Edko Films,512242766.0,170747588.66666666,3
France 2 Cinéma,510373210.0,12759330.25,40
Constant c Productions,507571524.0,253785762.0,2
Mostow/Lieberman Productions,507178895.0,253589447.5,2
5150 Action,506123350.0,126530837.5,4
Marubeni,504874781.0,84145796.83333333,6
Big Talk Productions,504010533.0,72001504.71428572,7
David Brown Productions,500919082.0,166973027.33333334,3
WV Films IV,500643681.0,250321840.5,2
Babieka,499186150.0,166395383.33333334,3
Helena Productions,497409852.0,497409852.0,1
CJ Entertainment,496981067.0,31061316.6875,16
Iron Horse Entertainment (II),495302511.0,123825627.75,4
Chaocorp,494210259.0,164736753.0,3
Closest to the Hole Productions,492869824.0,70409974.85714285,7
Nippon Television Network (NTV),491930264.0,81988377.33333333,6
Mitsubishi,490712884.0,122678221.0,4
Film Export A.G.,490676724.0,245338362.0,2
Yash Raj Films,490207655.0,35014832.5,14
Film 44,489910382.0,163303460.66666666,3
Alliance Films,489617290.0,34972663.571428575,14
Permut Presentations,487730074.0,69675724.85714285,7
Dentsu Inc.,486801930.0,121700482.5,4
Perfect World Pictures,485313104.0,161771034.66666666,3
FilmColony,484612265.0,60576533.125,8
Pit Bull Productions,484572835.0,484572835.0,1
Gilbert Films,480188045.0,160062681.66666666,3
The Department of Trade and Industry of South Africa,476819611.0,238409805.5,2
Quad Productions,476338947.0,119084736.75,4
Beacon Pictures,476326505.0,68046643.57142857,7
Lonely Film Productions GmbH & Co. KG.,476039405.0,119009851.25,4
Theobald Film Productions,474968763.0,474968763.0,1
C-2 Pictures,473629478.0,236814739.0,2
Pacific Standard,473512105.0,157837368.33333334,3
Baltimore Spring Creek Productions,472017117.0,118004279.25,4
Virgin Produced,471786036.0,94357207.2,5
Joseph M. Singer Entertainment,470560949.0,235280474.5,2
FilmDistrict,469723435.0,52191492.777777776,9
Juno Pix,469649537.0,156549845.66666666,3
Nina Saxon Film Design,469543446.0,117385861.5,4
LEGO,469160692.0,469160692.0,1
Atomic Monster,469038843.0,234519421.5,2
40 Acres & A Mule Filmworks,465701025.0,29106314.0625,16
Groucho II Film Partnership,463517383.0,463517383.0,1
Le Grisbi Productions,461997256.0,115499314.0,4
Practical Pictures,461773940.0,153924646.66666666,3
Hey Eddie,460743132.0,153581044.0,3
X3US Productions,459359555.0,459359555.0,1
XM3 Service,459359555.0,459359555.0,1
X3 Canada Productions,459359555.0,459359555.0,1
IFP Westcoast Erste,459270619.0,459270619.0,1
Amen Ra Films,457696661.0,91539332.2,5
C & L,457640427.0,457640427.0,1
Dawliz,457640427.0,457640427.0,1
Mill Film,457640427.0,457640427.0,1
Sparkler Entertainment,457363168.0,457363168.0,1
NT2 Productions,457363168.0,457363168.0,1
IM Global,456977830.0,20771719.545454547,22
Taurus Film,456882516.0,114220629.0,4
Wild Bunch,456504631.0,13833473.666666666,33
Nintendo,455331947.0,91066389.4,5
Star Partners II Ltd.,453227257.0,113306814.25,4
Robert Stigwood Organization (RSO),453178479.0,151059493.0,3
United Plankton Pictures,451755824.0,225877912.0,2
Celador Films,451513241.0,150504413.66666666,3
Impostor Pictures,451408642.0,225704321.0,2
Franchise Pictures,449826605.0,23675084.47368421,19
Dune Films,449789979.0,64255711.28571428,7
Vinyl Films,449138780.0,89827756.0,5
Samuel Goldwyn Films,448900521.0,64128645.85714286,7
Endgame Entertainment,448876939.0,29925129.266666666,15
Gravier Productions,447110723.0,63872960.428571425,7
Why Not Productions,445335209.0,26196188.76470588,17
TPS Star,445324529.0,49480503.222222224,9
Rainforest Films,444798096.0,74133016.0,6
Karz Entertainment,443670893.0,88734178.6,5
Ardustry Entertainment,443634586.0,221817293.0,2
Open Road Films,443480855.0,44348085.5,10
Motion Picture BETA Produktionsgesellschaft,442824138.0,442824138.0,1
Bourne Again,442824138.0,442824138.0,1
Grosvenor Park Productions,442145086.0,110536271.5,4
CAMERON MACKINTOSH,441809770.0,441809770.0,1
Hoya Productions,441306145.0,441306145.0,1
Aegis Film Fund,439945610.0,87989122.0,5
Splendid Pictures,439729121.0,146576373.66666666,3
Krane Entertainment,438174559.0,146058186.33333334,3
Huayi Brothers Media,437094923.0,72849153.83333333,6
Top Cow Productions,435508804.0,217754402.0,2
K/O Camera Toys,434918312.0,217459156.0,2
Irwin Allen Productions,433834240.0,144611413.33333334,3
Blizzard Entertainment,433677183.0,433677183.0,1
Imhotep Productions,433013274.0,433013274.0,1
Eidos Interactive,431208728.0,215604364.0,2
Artisan Entertainment,427532040.0,35627670.0,12
Ten Films,426632401.0,213316200.5,2
Gerber Pictures,425669164.0,141889721.33333334,3
HBO Films,423510647.0,52938830.875,8
Lion Rock Productions,422771911.0,105692977.75,4
Depth of Field,421909684.0,70318280.66666667,6
Viz Media,421214334.0,210607167.0,2
Callahan Filmworks,421006021.0,210503010.5,2
Silverbell Films,419651413.0,419651413.0,1
Propeler,419651413.0,419651413.0,1
Ozumi Films,419651413.0,419651413.0,1
Little Bird,419110038.0,104777509.5,4
Medienboard Berlin-Brandenburg,417576824.0,59653832.0,7
DisneyToon Studios,417008469.0,104252117.25,4
Stage 6 Films,416823831.0,52102978.875,8
Deutsche Filmförderfonds (DFFF),415719931.0,59388561.571428575,7
Perfect World (Beijing) Pictures Co.,415484914.0,415484914.0,1
EMJAG Productions,415275538.0,138425179.33333334,3
Darren Star Productions,415252786.0,415252786.0,1
Imaginary Forces,415098928.0,138366309.33333334,3
Cloudy Productions,414351546.0,414351546.0,1
Bedlam Productions,414253879.0,207126939.5,2
Momentum Pictures,414211549.0,414211549.0,1
Molinare Investment,414211549.0,414211549.0,1
Aperture Entertainment,413540485.0,137846828.33333334,3
Start Motion Pictures,413398217.0,137799405.66666666,3
Selznick International Pictures,413176459.0,137725486.33333334,3
Museum Canada Productions,413106170.0,413106170.0,1
Clinica Estetico,411496321.0,82299264.2,5
Mandalay Entertainment,410993462.0,58713351.71428572,7
La Petite Reine,408546930.0,81709386.0,5
Olive Bridge Entertainment,408260570.0,102065142.5,4
Secret Hideout,407778013.0,407778013.0,1
XM2 Productions,407711549.0,407711549.0,1
XF2 Canada Productions,407711549.0,407711549.0,1
Disney Double Dare You (DDY),407602906.0,407602906.0,1
Next Entertainment,404944927.0,101236231.75,4
Davis Films,404690648.0,101172662.0,4
Brownstone Productions,402856620.0,201428310.0,2
LionsGate,401516521.0,80303304.2,5
Crystal Sky Pictures,400167174.0,133389058.0,3
Sean Bailey Productions,400062763.0,400062763.0,1
Goldmann Pictures,398470276.0,132823425.33333333,3
The Fourth Production Company Film Group,397850012.0,397850012.0,1
MI 3 Film,397850012.0,397850012.0,1
Centropolis Film Productions,397578382.0,198789191.0,2
WCG Entertainment Productions,395946293.0,197973146.5,2
Cott Productions,394820758.0,197410379.0,2
Ixtlan,394481448.0,98620362.0,4
Fortis Films,393775676.0,78755135.2,5
Gran Via Productions,393030771.0,49128846.375,8
Twilight Productions,392616625.0,392616625.0,1
Punch Productions,390836060.0,78167212.0,5
Seed Productions,390804162.0,195402081.0,2
87Eleven,390655679.0,97663919.75,4
Simon Kinberg Productions,390540248.0,195270124.0,2
Alpha Core,390540248.0,195270124.0,2
Giant Pictures,386621632.0,193310816.0,2
MavroCine Pictures GmbH & Co. KG,385680446.0,385680446.0,1
Canadian Film or Video Production Tax Credit (CPTC),384783269.0,38478326.9,10
Independent Pictures (II),383673371.0,127891123.66666667,3
Wind Dancer Productions,383318177.0,191659088.5,2
Saints LA,382378216.0,191189108.0,2
Buena Vista Home Entertainment,380281282.0,190140641.0,2
Darkwoods Productions,379690446.0,94922611.5,4
Fried Films,379014294.0,379014294.0,1
Perfect World Pictures (Beijing),378827494.0,378827494.0,1
Stephen J. Cannell Productions,378824124.0,189412062.0,2
Filmstiftung Nordrhein-Westfalen,378534107.0,42059345.222222224,9
World 2000 Entertainment,377413654.0,75482730.8,5
Italian Tax Credit,376528203.0,125509401.0,3
STX Entertainment,375555117.0,62592519.5,6
Patalex III Productions Limited,374218673.0,374218673.0,1
Scholastic Productions,372234864.0,372234864.0,1
The Halcyon Company,371353001.0,371353001.0,1
Boxing Cat Films,370892636.0,92723159.0,4
Pariah,369650506.0,73930101.2,5
Warner Bros. Family Entertainment,369590759.0,123196919.66666667,3
Artemple - Hollywood,369330363.0,369330363.0,1
Ontario Film Development Corporation,369245862.0,184622931.0,2
MPH Entertainment Productions,368744044.0,368744044.0,1
Mayhem Pictures,366304481.0,91576120.25,4
Beijing New Picture Film Co. Ltd.,365569811.0,121856603.66666667,3
Bookshop Productions,363889678.0,363889678.0,1
Notting Hill Pictures,363889678.0,363889678.0,1
Beijing Enlight Pictures,362852250.0,181426125.0,2
Indian Paintbrush,362238009.0,36223800.9,10
Red Om Films,359500709.0,179750354.5,2
Casey Silver Productions,359117482.0,71823496.4,5
Living Films,358589286.0,89647321.5,4
Ronald Shusett/Gary Goldman,358372926.0,358372926.0,1
Mark Canton Productions,358312856.0,119437618.66666667,3
Big Kid Pictures,356857428.0,118952476.0,3
Village Roadshow Films North America,356743061.0,356743061.0,1
Riche Productions,356743061.0,356743061.0,1
Panorama Films,356734618.0,178367309.0,2
Bona Fide Productions,355855517.0,59309252.833333336,6
Free State Pictures,355447056.0,118482352.0,3
CoMix Wave Films,355298270.0,355298270.0,1
Katalyst Films,354034244.0,88508561.0,4
Cold Spring Pictures,353029966.0,70605993.2,5
Kemp Company,352114312.0,352114312.0,1
Monarchy Enterprises B.V.,351629774.0,175814887.0,2
A&E Television Networks,351040419.0,351040419.0,1
Spectrum Films,351040419.0,351040419.0,1
Sony Pictures,350521030.0,31865548.181818184,11
4 Kids Entertainment,350505541.0,70101108.2,5
Buena Vista,350233757.0,116744585.66666667,3
Rovio Entertainment,349779543.0,349779543.0,1
Rovio Animation,349779543.0,349779543.0,1
Sony Pictures Imageworks (SPI),349779543.0,349779543.0,1
Rovio Mobile,349779543.0,349779543.0,1
Sony Pictures Classics,349051775.0,20532457.352941178,17
St. Petersburg Clearwater Film Commission,348910252.0,174455126.0,2
Hanna-Barbera Productions,348213260.0,174106630.0,2
Bel Air Entertainment,348088400.0,58014733.333333336,6
Industrial Light & Magic (ILM),347247279.0,173623639.5,2
Canlaws Productions,347234916.0,347234916.0,1
Scope Pictures,346921850.0,28910154.166666668,12
Aamir Khan Productions,346530000.0,115510000.0,3
Rox Productions,346147658.0,346147658.0,1
Maple Cage Productions,346147658.0,346147658.0,1
Parallel Zide,344054782.0,172027391.0,2
X-Filme Creative Pool,343862466.0,31260224.181818184,11
Perfect Storm Entertainment,343471816.0,343471816.0,1
Sneaky Shark,343471816.0,343471816.0,1
Current Entertainment,343387444.0,42923430.5,8
Amblin Partners,342987780.0,171493890.0,2
Tall Trees Productions,342885300.0,114295100.0,3
Hyde Park Entertainment,341569136.0,42696142.0,8
Andalasia Productions,340487652.0,340487652.0,1
Right Coast Productions,340487652.0,340487652.0,1
Showbox,339732931.0,84933232.75,4
Yucaipa Films,336824974.0,112274991.33333333,3
Mystery Clock Cinema,333327542.0,111109180.66666667,3
Super Cool ManChu,333108461.0,166554230.5,2
Walt Disney Company,333050345.0,166525172.5,2
Sketch Films,332559485.0,110853161.66666667,3
Largo Entertainment,332327678.0,36925297.55555555,9
Legendary East,331957105.0,331957105.0,1
Kava Productions,331957105.0,331957105.0,1
Le Vision Pictures,331957105.0,331957105.0,1
Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG,330579719.0,330579719.0,1
Nancy Tenenbaum Films,330444045.0,330444045.0,1
EMI Films,330341757.0,66068351.4,5
Zucker/Netter Productions,330208309.0,165104154.5,2
Arka Media Works,330000000.0,165000000.0,2
Perdido Productions,329732603.0,54955433.833333336,6
UTV Motion Pictures,329642979.0,21976198.6,15
Zadan / Meron Productions,329365838.0,109788612.66666667,3
Rimfire Films,328203506.0,328203506.0,1
Cecchi Gori Pictures,327311863.0,163655931.5,2
Teitler Film,327118750.0,163559375.0,2
Iguana Producciones,326243002.0,108747667.33333333,3
Taken 3,325771424.0,325771424.0,1
TF1 Films Productions,325153706.0,54192284.333333336,6
Media Asia Films,324718850.0,36079872.222222224,9
American Empirical Pictures,324142910.0,81035727.5,4
Craven-Maddalena Films,323504087.0,64700817.4,5
WWE Studios,323344366.0,29394942.363636363,11
City Light Films,323173400.0,64634680.0,5
Quinta Communications,322713910.0,46101987.14285714,7
Mediapro,322621587.0,64524317.4,5
Robert Wise Productions,320214286.0,106738095.33333333,3
Soho VFX,320170008.0,320170008.0,1
warner bross Turkey,320170008.0,320170008.0,1
Zehnte Babelsberg,319131050.0,319131050.0,1
Visiona Romantica,319131050.0,319131050.0,1
Pariah Entertainment Group,318880278.0,79720069.5,4
Starz Animation,318568028.0,79642007.0,4
Renn Productions,318372983.0,79593245.75,4
Westdeutscher Rundfunk (WDR),316939826.0,19808739.125,16
Outlaw Productions (I),316802840.0,45257548.571428575,7
Sony Pictures Worldwide Acquisitions (SPWA),316441979.0,158220989.5,2
Newman/Tooley Films,314345045.0,157172522.5,2
